"[60, 50, -47, -1, 72, 74, -3]"
"[66, 53, -47, -1, 72, 80, -3]"
"[71, 55, -47, -2, 70, 84, -3]"
"[75, 58, -47, -3, 67, 86, -3]"
"[77, 62, -47, -3, 63, 89, -3]"
"[78, 67, -48, -3, 57, 91, -3]"
"[78, 71, -52, -2, 55, 91, -3]"
"[78, 76, -58, -2, 57, 91, -3]"
"[78, 81, -63, -1, 59, 91, -3]"
"[78, 86, -68, -1, 61, 91, -3]"
"[78, 91, -73, 0, 62, 91, -3]"
"[78, 95, -77, 1, 65, 90, -3]"
"[79, 98, -80, 0, 66, 90, -3]"
"[80, 101, -82, 1, 67, 91, -3]"
"[80, 103, -83, 0, 68, 91, -3]"
"[80, 104, -83, 0, 68, 91, -3]"
"[80, 106, -83, 0, 68, 91, -3]"
"[80, 106, -83, 0, 68, 90, -3]"
"[80, 106, -83, 0, 68, 90, -3]"
"[80, 106, -83, 0, 67, 90, -3]"
"[80, 106, -83, 0, 67, 86, -3]"
"[80, 106, -83, 0, 68, 84, 0]"
"[80, 106, -83, 1, 68, 84, 13]"
"[80, 106, -83, 2, 67, 83, 31]"
"[80, 106, -83, 2, 68, 83, 48]"
"[80, 107, -83, 2, 68, 84, 55]"
"[80, 109, -83, 2, 67, 84, 54]"
"[80, 111, -83, -1, 66, 83, 53]"
"[80, 113, -83, -1, 66, 83, 51]"
"[80, 115, -83, -2, 65, 83, 49]"
"[80, 115, -83, -2, 64, 83, 48]"
"[80, 116, -83, -2, 63, 83, 48]"
"[80, 116, -83, -2, 63, 83, 49]"
"[80, 116, -83, -2, 63, 83, 49]"
"[79, 116, -83, -2, 61, 83, 49]"
"[78, 116, -82, 0, 61, 81, 49]"
"[77, 116, -82, 2, 62, 79, 49]"
"[76, 116, -82, 3, 61, 78, 49]"
"[76, 116, -80, 4, 60, 78, 49]"
"[76, 116, -80, 4, 59, 78, 49]"
"[76, 116, -80, 4, 59, 78, 49]"
"[76, 116, -80, 4, 59, 78, 49]"
"[76, 116, -80, 4, 59, 78, 49]"
"[76, 116, -80, 4, 59, 78, 49]"
"[76, 116, -80, 4, 59, 78, 47]"
"[76, 116, -80, 4, 58, 78, 44]"
"[76, 116, -80, 4, 58, 78, 42]"
"[76, 116, -80, 4, 58, 78, 39]"
"[76, 116, -80, 4, 58, 78, 36]"
"[76, 116, -80, 4, 58, 78, 32]"
"[76, 116, -80, 4, 58, 78, 26]"
"[76, 116, -80, 3, 58, 78, 21]"
"[76, 116, -80, 3, 58, 79, 15]"
"[76, 116, -80, 3, 58, 78, 15]"
"[76, 116, -80, 3, 58, 78, 15]"
"[76, 116, -80, 3, 58, 78, 15]"
"[76, 116, -80, 3, 58, 78, 15]"
"[76, 116, -80, 3, 58, 78, 15]"
"[76, 116, -81, 3, 59, 79, 15]"
"[76, 116, -82, 3, 61, 79, 15]"
"[76, 115, -82, 3, 62, 79, 15]"
"[76, 113, -82, 2, 62, 79, 15]"
"[76, 111, -82, 2, 64, 80, 15]"
"[76, 108, -82, 2, 66, 80, 15]"
"[76, 105, -82, 2, 69, 80, 15]"
"[76, 102, -82, 2, 72, 80, 15]"
"[76, 99, -82, 2, 73, 80, 15]"
"[76, 95, -82, 3, 73, 80, 15]"
"[76, 92, -82, 3, 73, 80, 15]"
"[76, 88, -80, 4, 73, 80, 15]"
"[76, 83, -76, 5, 73, 80, 15]"
"[76, 78, -72, 6, 73, 80, 15]"
"[76, 73, -68, 6, 73, 80, 15]"
"[76, 68, -63, 6, 73, 82, 15]"
"[76, 64, -59, 6, 73, 85, 15]"
"[76, 60, -55, 6, 73, 88, 15]"
"[76, 57, -52, 6, 73, 91, 15]"
"[76, 54, -50, 6, 73, 94, 15]"
"[76, 52, -49, 5, 73, 95, 15]"
"[76, 52, -49, 4, 73, 95, 15]"
"[76, 50, -47, 4, 73, 94, 15]"
"[76, 46, -45, 4, 73, 94, 15]"
"[75, 40, -43, 3, 73, 94, 15]"
"[73, 36, -42, 3, 73, 94, 15]"
"[71, 34, -41, 3, 73, 94, 15]"
"[68, 33, -41, 3, 73, 94, 15]"
"[64, 33, -41, 2, 73, 94, 15]"
"[59, 33, -41, 1, 73, 94, 15]"
"[53, 33, -41, 0, 73, 94, 15]"
"[46, 33, -41, 0, 73, 94, 15]"
"[39, 33, -41, 0, 73, 94, 15]"
"[31, 33, -41, 0, 73, 94, 15]"
"[24, 33, -41, 0, 73, 94, 15]"
"[18, 33, -41, 0, 73, 94, 15]"
"[12, 33, -41, 0, 73, 94, 15]"
"[8, 33, -41, 0, 73, 94, 15]"
"[4, 33, -41, 0, 73, 94, 15]"
"[-1, 33, -41, 0, 73, 94, 15]"
"[-7, 33, -41, 0, 73, 93, 15]"
"[-12, 33, -41, 0, 73, 92, 15]"
