"[-18, 33, -41, 0, 73, 86, 15]"
"[-23, 33, -41, 1, 73, 79, 15]"
"[-25, 33, -41, 0, 73, 73, 15]"
"[-25, 33, -41, 0, 73, 71, 15]"
"[-25, 33, -41, -1, 72, 71, 15]"
"[-25, 33, -41, -2, 72, 71, 15]"
"[-25, 34, -41, -3, 68, 72, 15]"
"[-25, 38, -41, -3, 65, 72, 15]"
"[-25, 42, -41, -3, 64, 71, 15]"
"[-25, 47, -41, -2, 61, 71, 15]"
"[-25, 51, -42, -2, 59, 71, 15]"
"[-25, 55, -44, -2, 59, 71, 15]"
"[-25, 58, -47, -2, 60, 71, 15]"
"[-25, 62, -50, -3, 61, 71, 15]"
"[-25, 65, -52, -3, 61, 71, 15]"
"[-25, 69, -53, -3, 61, 71, 15]"
"[-25, 72, -55, -4, 61, 71, 15]"
"[-25, 74, -56, -4, 61, 71, 15]"
"[-25, 76, -56, -4, 60, 71, 15]"
"[-25, 77, -56, -4, 60, 71, 15]"
"[-25, 77, -56, -5, 60, 71, 15]"
"[-25, 79, -56, -5, 60, 72, 15]"
"[-25, 80, -57, -5, 61, 71, 15]"
"[-25, 81, -58, -6, 61, 71, 15]"
"[-25, 82, -58, -6, 61, 72, 15]"
"[-25, 82, -58, -6, 61, 71, 15]"
"[-25, 83, -58, -6, 61, 71, 15]"
"[-25, 83, -58, -5, 61, 71, 15]"
"[-25, 84, -58, -5, 61, 71, 15]"
"[-25, 84, -58, -6, 61, 71, 15]"
"[-25, 84, -58, -6, 61, 71, 15]"
"[-25, 84, -58, -6, 61, 71, 15]"
"[-25, 84, -58, -6, 61, 71, 15]"
"[-25, 84, -58, -6, 61, 71, 15]"
"[-25, 84, -58, -6, 60, 71, 15]"
"[-25, 84, -58, -7, 61, 71, 16]"
"[-25, 84, -58, -8, 61, 72, 19]"
"[-25, 84, -58, -8, 62, 74, 24]"
"[-25, 83, -58, -8, 62, 74, 29]"
"[-25, 80, -58, -8, 61, 74, 38]"
"[-25, 77, -58, -7, 61, 74, 47]"
"[-25, 74, -58, -7, 62, 74, 49]"
"[-25, 70, -58, -7, 63, 74, 48]"
"[-25, 66, -58, -7, 64, 74, 46]"
"[-25, 64, -58, -6, 65, 73, 38]"
"[-25, 61, -58, -6, 67, 72, 26]"
"[-25, 57, -58, -6, 69, 71, 13]"
"[-25, 53, -58, -6, 72, 71, 0]"
"[-25, 49, -58, -8, 73, 70, -3]"
"[-25, 44, -58, -10, 73, 68, -3]"
"[-25, 39, -58, -12, 73, 65, -3]"
"[-25, 34, -58, -12, 73, 59, -3]"
"[-25, 29, -58, -12, 72, 52, -3]"
"[-25, 27, -58, -12, 72, 41, -3]"
"[-25, 27, -58, -12, 72, 29, -3]"
"[-25, 28, -58, -12, 69, 17, -3]"
"[-25, 28, -58, -13, 66, 8, -3]"
"[-25, 29, -58, -13, 66, 6, -3]"
"[-25, 29, -58, -13, 66, 6, -3]"
"[-27, 29, -58, -13, 66, 6, -3]"
"[-34, 29, -58, -13, 63, 5, -3]"
"[-41, 29, -58, -11, 60, 3, -3]"
"[-50, 29, -58, -8, 57, 2, -3]"
"[-59, 29, -57, -4, 57, 2, -3]"
"[-68, 29, -56, -1, 55, 1, -3]"
"[-76, 29, -53, 1, 50, -2, -3]"
"[-82, 29, -48, 2, 41, -4, -3]"
"[-87, 29, -42, 3, 33, -4, -3]"
"[-91, 29, -36, 3, 25, -5, -3]"
"[-94, 29, -31, 3, 19, -7, -3]"
"[-95, 28, -27, 3, 17, -9, -3]"
"[-95, 26, -22, 3, 15, -11, -3]"
"[-95, 21, -16, 3, 12, -13, -3]"
"[-95, 15, -11, 3, 11, -14, -3]"
"[-95, 11, -7, 3, 11, -15, -3]"
"[-95, 8, -4, 3, 10, -17, -3]"
"[-95, 6, -1, 3, 9, -18, -3]"
"[-95, 3, 1, 3, 8, -18, -3]"
"[-95, 0, 3, 3, 8, -18, -3]"
"[-95, -2, 3, 2, 11, -18, -3]"
"[-95, -2, 3, 2, 15, -18, -3]"
"[-95, -2, 3, 2, 15, -17, -3]"
"[-95, -2, 3, 2, 15, -14, -3]"
"[-95, -2, 3, 1, 15, -14, -3]"
"[-95, -2, 3, 2, 15, -14, -3]"
"[-95, -2, 3, 2, 15, -14, -3]"
"[-95, -2, 3, 2, 15, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
"[-95, -1, 2, 2, 18, -14, -3]"
