"[82, 33, -70, -37, 72, 20, 34]"
"[73, 33, -70, -37, 72, 20, 34]"
"[61, 33, -70, -37, 72, 20, 34]"
"[51, 33, -70, -37, 72, 20, 34]"
"[40, 33, -70, -37, 72, 20, 34]"
"[28, 33, -70, -37, 72, 20, 34]"
"[16, 33, -70, -37, 72, 19, 34]"
"[5, 33, -69, -37, 72, 14, 34]"
"[-5, 33, -66, -35, 72, 11, 34]"
"[-13, 33, -60, -30, 71, 11, 34]"
"[-18, 33, -53, -24, 68, 11, 34]"
"[-21, 33, -47, -23, 61, 11, 34]"
"[-22, 33, -41, -24, 52, 11, 34]"
"[-22, 33, -34, -26, 42, 11, 34]"
"[-22, 33, -28, -28, 34, 14, 34]"
"[-22, 33, -21, -30, 25, 25, 34]"
"[-22, 33, -14, -33, 14, 39, 34]"
"[-22, 33, -9, -39, 8, 51, 34]"
"[-22, 33, -6, -48, 6, 56, 34]"
"[-22, 35, -6, -55, 7, 59, 34]"
"[-22, 38, -6, -61, 8, 66, 34]"
"[-22, 40, -7, -71, 8, 76, 34]"
"[-21, 43, -9, -84, 12, 89, 34]"
"[-18, 46, -10, -97, 19, 103, 34]"
"[-16, 50, -10, -104, 22, 117, 34]"
"[-16, 56, -12, -104, 24, 122, 34]"
"[-16, 58, -13, -104, 24, 122, 34]"
"[-16, 59, -13, -104, 23, 122, 34]"
"[-16, 59, -13, -104, 23, 121, 34]"
"[-16, 59, -13, -104, 23, 121, 34]"
"[-16, 60, -13, -104, 24, 121, 34]"
"[-16, 60, -13, -104, 23, 120, 34]"
"[-16, 60, -13, -102, 23, 114, 34]"
"[-16, 60, -15, -85, 21, 93, 34]"
"[-16, 59, -17, -64, 21, 68, 34]"
"[-17, 59, -20, -47, 22, 45, 34]"
"[-21, 59, -22, -36, 22, 33, 34]"
"[-26, 59, -23, -28, 15, 25, 34]"
"[-32, 59, -23, -21, 6, 18, 34]"
"[-36, 59, -21, -15, -4, 12, 34]"
"[-37, 59, -16, -7, -15, 5, 34]"
"[-37, 59, -11, 1, -25, -3, 34]"
"[-37, 59, -8, 4, -30, -10, 34]"
"[-37, 59, -7, 3, -30, -10, 34]"
"[-37, 59, -7, 3, -30, -7, 34]"
"[-37, 59, -7, 3, -28, -5, 34]"
"[-37, 59, -7, 2, -27, -5, 34]"
"[-37, 60, -7, 2, -28, -2, 34]"
"[-37, 62, -7, 0, -30, 0, 34]"
"[-37, 64, -7, -1, -33, 0, 34]"
"[-37, 66, -7, -1, -35, -1, 34]"
"[-37, 68, -7, -1, -37, -1, 34]"
"[-37, 70, -7, -1, -39, -1, 34]"
"[-37, 72, -7, -1, -41, -2, 34]"
"[-37, 72, -7, -1, -41, -2, 34]"
"[-37, 72, -7, -2, -41, -2, 34]"
"[-37, 72, -7, -2, -41, -2, 34]"
"[-37, 72, -7, -3, -40, -2, 34]"
"[-37, 72, -7, -3, -40, -2, 34]"
"[-37, 72, -7, -2, -41, -2, 34]"
"[-37, 72, -7, 1, -45, -5, 34]"
"[-37, 73, -8, 1, -45, -6, 34]"
"[-37, 75, -9, 1, -45, -6, 34]"
"[-37, 77, -10, 3, -45, -6, 34]"
"[-37, 79, -12, 3, -45, -6, 34]"
"[-37, 81, -13, 6, -46, -7, 34]"
"[-37, 82, -14, 7, -46, -8, 34]"
"[-37, 84, -15, 7, -46, -8, 34]"
"[-37, 84, -15, 7, -45, -9, 34]"
"[-37, 84, -15, 6, -43, -11, 34]"
"[-37, 84, -15, 6, -43, -11, 34]"
"[-37, 84, -15, 6, -43, -11, 34]"
"[-37, 84, -15, 5, -43, -11, 34]"
"[-37, 84, -15, 5, -43, -11, 34]"
"[-37, 84, -15, 5, -43, -10, 34]"
"[-37, 84, -15, 6, -43, -10, 34]"
"[-37, 84, -14, 7, -44, -10, 34]"
"[-37, 84, -14, 7, -44, -9, 34]"
"[-37, 83, -13, 7, -44, -9, 34]"
"[-37, 83, -13, 7, -43, -9, 34]"
"[-37, 82, -13, 8, -42, -9, 34]"
"[-37, 81, -13, 7, -41, -9, 34]"
"[-37, 81, -13, 8, -41, -8, 34]"
"[-37, 80, -13, 7, -41, -8, 34]"
"[-37, 76, -13, 5, -40, -8, 34]"
"[-37, 73, -13, 3, -37, -8, 34]"
"[-37, 71, -10, 1, -38, -6, 34]"
"[-37, 69, -7, -1, -39, -6, 34]"
"[-37, 69, -6, -3, -39, -4, 34]"
"[-37, 69, -6, -3, -39, -3, 34]"
"[-37, 69, -6, -3, -39, -3, 34]"
"[-37, 70, -6, -3, -39, -4, 34]"
"[-37, 72, -6, -3, -40, -5, 34]"
"[-37, 73, -6, -3, -40, -6, 34]"
"[-37, 75, -6, -3, -41, -6, 34]"
"[-37, 75, -6, -3, -42, -6, 34]"
"[-37, 75, -6, -3, -42, -6, 34]"
"[-37, 75, -6, -3, -42, -6, 34]"
"[-37, 75, -6, -3, -42, -6, 34]"
"[-37, 75, -6, -3, -42, -7, 34]"
