"[-37, 75, -6, -3, -42, -7, 34]"
"[-37, 75, -6, -3, -42, -8, 34]"
"[-37, 75, -6, -3, -42, -8, 35]"
"[-37, 75, -6, -3, -42, -8, 42]"
"[-37, 75, -6, -2, -43, -8, 52]"
"[-37, 75, -6, -2, -43, -8, 55]"
"[-37, 75, -6, -2, -43, -8, 56]"
"[-37, 75, -6, -2, -43, -7, 56]"
"[-37, 74, -6, -4, -43, -7, 54]"
"[-37, 73, -6, -5, -43, -7, 48]"
"[-37, 73, -6, -6, -44, -6, 42]"
"[-37, 73, -6, -7, -44, -5, 36]"
"[-37, 73, -6, -7, -44, -4, 36]"
"[-37, 73, -6, -7, -45, -4, 36]"
"[-37, 73, -6, -7, -48, -4, 36]"
"[-37, 73, -6, -5, -48, -3, 36]"
"[-37, 73, -4, -5, -49, -3, 36]"
"[-37, 73, -2, -5, -53, -2, 36]"
"[-37, 73, -2, -5, -54, -2, 36]"
"[-37, 73, -2, -4, -54, -1, 36]"
"[-37, 74, -2, -4, -54, 0, 36]"
"[-37, 75, -2, -4, -54, 1, 36]"
"[-37, 76, -2, -3, -55, 1, 36]"
"[-37, 76, -3, -4, -54, 2, 36]"
"[-37, 76, -4, -4, -53, 2, 36]"
"[-37, 76, -4, -4, -52, 3, 36]"
"[-37, 76, -4, -4, -52, 3, 36]"
"[-37, 76, -4, -4, -52, 3, 36]"
"[-37, 76, -4, -4, -51, 2, 36]"
"[-37, 76, -3, -4, -52, 2, 36]"
"[-37, 76, -3, -3, -52, 2, 36]"
"[-37, 76, -3, -3, -52, 2, 36]"
"[-37, 76, -3, -3, -52, 1, 44]"
"[-37, 76, -3, -2, -52, 1, 51]"
"[-37, 76, -3, -2, -52, 0, 55]"
"[-37, 75, -3, -2, -53, 0, 55]"
"[-37, 74, -3, -4, -52, -1, 54]"
"[-37, 74, -4, -4, -51, 0, 49]"
"[-37, 74, -5, -3, -50, 0, 33]"
"[-37, 74, -5, -3, -50, 0, 33]"
"[-37, 74, -5, -3, -51, 0, 33]"
"[-37, 74, -5, -3, -53, 0, 33]"
"[-37, 74, -5, -3, -51, 0, 34]"
"[-37, 74, -5, -3, -50, 0, 34]"
"[-37, 74, -5, -3, -50, 0, 34]"
"[-37, 74, -4, -3, -50, 1, 34]"
"[-37, 73, -2, -3, -53, 0, 34]"
"[-37, 72, -1, -3, -52, 0, 34]"
"[-37, 72, -1, -3, -52, 0, 34]"
"[-37, 72, -1, -3, -52, 0, 34]"
"[-37, 72, -1, -3, -52, 0, 35]"
"[-37, 72, -1, -2, -54, 0, 44]"
"[-37, 71, -1, -2, -55, 0, 53]"
"[-37, 68, -1, 1, -55, 0, 54]"
"[-37, 64, -1, 5, -54, 0, 49]"
"[-37, 60, -1, 9, -54, 0, 35]"
"[-37, 56, -1, 12, -55, 0, 21]"
"[-37, 53, -1, 16, -58, -2, 5]"
"[-37, 52, -1, 23, -62, -2, -3]"
"[-37, 52, -1, 32, -68, -2, -2]"
"[-37, 52, -1, 32, -69, -2, -2]"
"[-37, 52, -1, 31, -69, -4, -2]"
"[-37, 51, -1, 30, -65, -11, -2]"
"[-39, 46, -1, 29, -55, -19, -2]"
"[-42, 38, -1, 29, -44, -23, -2]"
"[-46, 31, -1, 29, -33, -24, -2]"
"[-51, 25, -1, 29, -23, -28, -2]"
"[-58, 20, -1, 29, -15, -32, -2]"
"[-65, 15, -1, 29, -9, -36, -2]"
"[-73, 10, -1, 29, -5, -36, -2]"
"[-79, 6, -1, 29, -3, -36, -2]"
"[-85, 4, -1, 29, -1, -36, -2]"
"[-91, 4, -1, 29, 2, -36, -2]"
"[-96, 4, 2, 29, 3, -36, -2]"
"[-99, 4, 3, 29, 3, -35, -2]"
"[-100, 4, 3, 29, 4, -35, -2]"
"[-101, 4, 3, 29, 6, -35, -2]"
"[-101, 4, 3, 29, 6, -35, -2]"
"[-101, 4, 3, 29, 6, -35, -2]"
"[-101, 4, 3, 21, 6, -33, -2]"
"[-101, 4, 3, 5, 8, -18, -2]"
"[-100, 4, 3, -4, 10, 1, -2]"
"[-100, 4, 3, -7, 10, 5, -2]"
"[-100, 4, 3, -5, 10, 0, -2]"
"[-100, 4, 3, 0, 10, -6, -2]"
"[-100, 4, 3, 1, 10, -7, -2]"
"[-100, 4, 3, 0, 10, -7, -2]"
"[-100, 4, 3, 0, 10, -7, -2]"
"[-100, 4, 3, 0, 10, -7, -2]"
"[-100, 4, 3, 0, 10, -7, -2]"
"[-100, 4, 2, 0, 13, -7, -2]"
"[-100, 4, 2, 0, 13, -7, -2]"
"[-100, 4, 2, 0, 13, -7, -2]"
"[-100, 4, 2, 0, 14, -7, -2]"
"[-100, 4, 2, 0, 14, -7, -2]"
"[-100, 4, 2, 0, 14, -7, -2]"
"[-99, 3, 2, 0, 15, -7, -2]"
"[-96, 0, 2, 0, 17, -10, -2]"
"[-95, -1, 2, 0, 20, -10, -2]"
"[-95, -1, 2, 0, 21, -11, -2]"
