"[-113, 116, -144, 68, 68, -58, 65]"
"[-111, 116, -148, 64, 66, -56, 65]"
"[-111, 116, -151, 61, 63, -54, 65]"
"[-111, 116, -151, 56, 60, -52, 65]"
"[-111, 116, -151, 50, 57, -50, 65]"
"[-111, 116, -151, 49, 57, -50, 65]"
"[-111, 116, -151, 49, 53, -50, 65]"
"[-111, 116, -151, 50, 47, -51, 65]"
"[-111, 116, -151, 50, 44, -51, 65]"
"[-111, 116, -151, 50, 44, -51, 65]"
"[-111, 116, -151, 51, 44, -51, 65]"
"[-111, 116, -151, 53, 44, -51, 65]"
"[-111, 116, -151, 56, 44, -51, 65]"
"[-111, 116, -151, 56, 45, -50, 65]"
"[-111, 116, -151, 56, 46, -48, 65]"
"[-111, 116, -151, 56, 46, -47, 65]"
"[-111, 116, -151, 56, 45, -46, 65]"
"[-111, 116, -151, 57, 43, -44, 65]"
"[-111, 118, -151, 60, 43, -44, 65]"
"[-111, 121, -151, 64, 45, -47, 65]"
"[-111, 123, -151, 69, 47, -51, 67]"
"[-111, 123, -151, 72, 51, -52, 68]"
"[-111, 123, -151, 74, 54, -53, 69]"
"[-111, 123, -151, 78, 56, -56, 69]"
"[-111, 123, -151, 82, 59, -57, 69]"
"[-112, 123, -151, 83, 60, -58, 69]"
"[-112, 123, -151, 82, 58, -58, 69]"
"[-112, 122, -151, 79, 54, -58, 69]"
"[-112, 121, -151, 78, 50, -58, 69]"
"[-112, 122, -151, 79, 49, -58, 69]"
"[-112, 123, -151, 80, 48, -59, 70]"
"[-111, 124, -151, 81, 47, -61, 70]"
"[-111, 124, -151, 82, 47, -61, 70]"
"[-111, 124, -151, 85, 48, -62, 70]"
"[-111, 125, -151, 87, 48, -63, 70]"
"[-111, 126, -151, 88, 48, -63, 70]"
"[-111, 126, -151, 88, 48, -63, 70]"
"[-111, 126, -151, 88, 48, -63, 70]"
"[-111, 126, -151, 88, 50, -63, 70]"
"[-111, 127, -151, 89, 52, -62, 70]"
"[-111, 127, -151, 90, 54, -61, 70]"
"[-111, 127, -151, 91, 56, -61, 70]"
"[-111, 127, -151, 91, 56, -60, 70]"
"[-111, 127, -151, 91, 57, -60, 70]"
"[-111, 127, -151, 91, 58, -59, 70]"
"[-110, 127, -151, 91, 58, -59, 70]"
"[-109, 127, -151, 91, 57, -58, 70]"
"[-108, 127, -151, 91, 57, -58, 71]"
"[-108, 126, -151, 90, 57, -57, 71]"
"[-108, 125, -151, 88, 58, -56, 71]"
"[-108, 125, -151, 87, 59, -56, 71]"
"[-108, 124, -151, 86, 61, -54, 71]"
"[-108, 122, -151, 84, 61, -55, 72]"
"[-109, 119, -150, 84, 58, -60, 72]"
"[-109, 114, -151, 86, 55, -62, 71]"
"[-109, 109, -151, 82, 51, -61, 71]"
"[-109, 106, -151, 75, 50, -58, 71]"
"[-109, 105, -151, 71, 50, -53, 71]"
"[-109, 104, -151, 66, 52, -47, 71]"
"[-109, 104, -151, 59, 56, -41, 71]"
"[-109, 104, -151, 53, 62, -36, 71]"
"[-109, 104, -151, 48, 65, -32, 71]"
"[-109, 103, -150, 45, 67, -30, 71]"
"[-109, 101, -147, 42, 68, -29, 71]"
"[-109, 98, -142, 39, 69, -29, 71]"
"[-109, 94, -135, 37, 70, -28, 71]"
"[-109, 90, -127, 36, 70, -28, 71]"
"[-109, 86, -119, 34, 70, -29, 71]"
"[-109, 81, -112, 32, 70, -30, 69]"
"[-109, 76, -105, 31, 68, -30, 66]"
"[-109, 71, -97, 30, 67, -30, 60]"
"[-109, 66, -88, 30, 65, -30, 55]"
"[-109, 61, -80, 30, 63, -30, 52]"
"[-109, 57, -72, 30, 61, -29, 50]"
"[-109, 52, -64, 29, 57, -29, 47]"
"[-109, 49, -58, 29, 54, -29, 44]"
"[-109, 48, -53, 29, 52, -29, 39]"
"[-109, 48, -50, 29, 51, -29, 34]"
"[-109, 48, -47, 31, 49, -30, 28]"
"[-109, 48, -44, 37, 45, -34, 13]"
"[-109, 48, -42, 44, 42, -40, -2]"
"[-109, 48, -40, 49, 41, -45, -3]"
"[-109, 51, -39, 55, 41, -50, -3]"
"[-109, 54, -39, 61, 41, -56, -3]"
"[-109, 56, -39, 67, 40, -61, -3]"
"[-109, 60, -39, 70, 41, -64, -3]"
"[-108, 63, -39, 73, 41, -66, -3]"
"[-106, 67, -39, 76, 41, -69, -3]"
"[-103, 70, -40, 78, 41, -70, -3]"
"[-101, 72, -40, 78, 41, -70, -3]"
"[-101, 73, -40, 80, 41, -70, -3]"
"[-100, 74, -40, 80, 40, -69, -3]"
"[-100, 74, -40, 80, 38, -68, -3]"
"[-100, 74, -39, 80, 37, -67, -3]"
"[-100, 74, -37, 80, 37, -66, -3]"
"[-100, 74, -36, 81, 37, -66, -3]"
"[-100, 74, -36, 80, 36, -66, -3]"
"[-100, 72, -36, 79, 34, -64, -3]"
"[-100, 69, -36, 75, 29, -60, -3]"
"[-100, 67, -36, 68, 26, -53, -3]"
